TOP PARENT,PARENT-CATEGORY,CATEGORY-NAME,CATEGORY-ID-NUMBER (SHORT-CODE),DESCRIPTION
School,Humanities,Humanities Electives,CAT-GRD-011-HUM-EL,"<p><strong>Humanities Electives</strong></p><p>Humanities Electives subject for the Classes 11 Humanities stream.</p><p><strong>Typical subjects or topics:</strong> Humanities Electives</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Humanities%20Electives"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Humanities Electives</a></p>"
School,Classes 11,Vocational,CAT-GRD-011-VOC,"<p><strong>Vocational</strong></p><p>Vocational stream for Classes 11.</p><p><strong>Typical subjects or topics:</strong> Information Technology, Retail, Tourism, Healthcare, Agriculture, Media, Banking and Finance, Automotive, Vocational Electives</p><p><strong>Recommended course structure:</strong> Subject / chapter or unit courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Vocational"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Vocational</a></p>"
School,Vocational,Information Technology,CAT-GRD-011-VOC-IT,"<p><strong>Information Technology</strong></p><p>Information Technology subject for the Classes 11 Vocational stream.</p><p><strong>Typical subjects or topics:</strong> Information Technology</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Information%20Technology"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Information Technology</a></p>"
School,Vocational,Retail,CAT-GRD-011-VOC-RET,"<p><strong>Retail</strong></p><p>Retail subject for the Classes 11 Vocational stream.</p><p><strong>Typical subjects or topics:</strong> Retail</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Retail"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Retail</a></p>"
School,Vocational,Tourism,CAT-GRD-011-VOC-TOU,"<p><strong>Tourism</strong></p><p>Tourism subject for the Classes 11 Vocational stream.</p><p><strong>Typical subjects or topics:</strong> Tourism</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Tourism"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Tourism</a></p>"
School,Vocational,Healthcare,CAT-GRD-011-VOC-HEA,"<p><strong>Healthcare</strong></p><p>Healthcare subject for the Classes 11 Vocational stream.</p><p><strong>Typical subjects or topics:</strong> Healthcare</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Healthcare"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Healthcare</a></p>"
School,Vocational,Agriculture,CAT-GRD-011-VOC-AGR,"<p><strong>Agriculture</strong></p><p>Agriculture subject for the Classes 11 Vocational stream.</p><p><strong>Typical subjects or topics:</strong> Agriculture</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Agriculture"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Agriculture</a></p>"
School,Vocational,Media,CAT-GRD-011-VOC-MED,"<p><strong>Media</strong></p><p>Media subject for the Classes 11 Vocational stream.</p><p><strong>Typical subjects or topics:</strong> Media</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Media"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Media</a></p>"
School,Vocational,Banking and Finance,CAT-GRD-011-VOC-BFS,"<p><strong>Banking and Finance</strong></p><p>Banking and Finance subject for the Classes 11 Vocational stream.</p><p><strong>Typical subjects or topics:</strong> Banking and Finance</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Banking%20and%20Finance"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Banking and Finance</a></p>"
School,Vocational,Automotive,CAT-GRD-011-VOC-AUT,"<p><strong>Automotive</strong></p><p>Automotive subject for the Classes 11 Vocational stream.</p><p><strong>Typical subjects or topics:</strong> Automotive</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Automotive"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Automotive</a></p>"
School,Vocational,Vocational Electives,CAT-GRD-011-VOC-EL,"<p><strong>Vocational Electives</strong></p><p>Vocational Electives subject for the Classes 11 Vocational stream.</p><p><strong>Typical subjects or topics:</strong> Vocational Electives</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Vocational%20Electives"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Vocational Electives</a></p>"
School,Senior Secondary (Classes 11-12),Classes 12,CAT-GRD-012,"<p><strong>Classes 12</strong></p><p>Curriculum category for Classes 12.</p><p><strong>Typical subjects or topics:</strong> Science, commerce, humanities and vocational streams</p><p><strong>Recommended course structure:</strong> Stream / subject / chapter or unit courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Classes%2012"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Classes 12</a></p>"
School,Classes 12,Science,CAT-GRD-012-SCI,"<p><strong>Science</strong></p><p>Science stream for Classes 12.</p><p><strong>Typical subjects or topics:</strong> Physics, Chemistry, Mathematics, Biology, English, Computer Science, Informatics Practices, Physical Education, Science Electives</p><p><strong>Recommended course structure:</strong> Subject / chapter or unit courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Science"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Science</a></p>"
School,Science,Physics,CAT-GRD-012-SCI-PH,"<p><strong>Physics</strong></p><p>Physics subject for the Classes 12 Science stream.</p><p><strong>Typical subjects or topics:</strong> Physics</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Physics"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Physics</a></p>"
School,Science,Chemistry,CAT-GRD-012-SCI-CH,"<p><strong>Chemistry</strong></p><p>Chemistry subject for the Classes 12 Science stream.</p><p><strong>Typical subjects or topics:</strong> Chemistry</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Chemistry"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Chemistry</a></p>"
School,Science,Mathematics,CAT-GRD-012-SCI-MA,"<p><strong>Mathematics</strong></p><p>Mathematics subject for the Classes 12 Science stream.</p><p><strong>Typical subjects or topics:</strong> Mathematics</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Mathematics"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Mathematics</a></p>"
School,Science,Biology,CAT-GRD-012-SCI-BI,"<p><strong>Biology</strong></p><p>Biology subject for the Classes 12 Science stream.</p><p><strong>Typical subjects or topics:</strong> Biology</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Biology"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Biology</a></p>"
School,Science,English,CAT-GRD-012-SCI-EN,"<p><strong>English</strong></p><p>English subject for the Classes 12 Science stream.</p><p><strong>Typical subjects or topics:</strong> English</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=English"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: English</a></p>"
School,Science,Computer Science,CAT-GRD-012-SCI-CS,"<p><strong>Computer Science</strong></p><p>Computer Science subject for the Classes 12 Science stream.</p><p><strong>Typical subjects or topics:</strong> Computer Science</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Computer%20Science"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Computer Science</a></p>"
School,Science,Informatics Practices,CAT-GRD-012-SCI-IP,"<p><strong>Informatics Practices</strong></p><p>Informatics Practices subject for the Classes 12 Science stream.</p><p><strong>Typical subjects or topics:</strong> Informatics Practices</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Informatics%20Practices"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Informatics Practices</a></p>"
School,Science,Physical Education,CAT-GRD-012-SCI-PE,"<p><strong>Physical Education</strong></p><p>Physical Education subject for the Classes 12 Science stream.</p><p><strong>Typical subjects or topics:</strong> Physical Education</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Physical%20Education"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Physical Education</a></p>"
School,Science,Science Electives,CAT-GRD-012-SCI-EL,"<p><strong>Science Electives</strong></p><p>Science Electives subject for the Classes 12 Science stream.</p><p><strong>Typical subjects or topics:</strong> Science Electives</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Science%20Electives"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Science Electives</a></p>"
School,Classes 12,Commerce,CAT-GRD-012-COM,"<p><strong>Commerce</strong></p><p>Commerce stream for Classes 12.</p><p><strong>Typical subjects or topics:</strong> Accountancy, Business Studies, Economics, English, Mathematics, Informatics Practices, Entrepreneurship, Physical Education, Commerce Electives</p><p><strong>Recommended course structure:</strong> Subject / chapter or unit courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Commerce"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Commerce</a></p>"
School,Commerce,Accountancy,CAT-GRD-012-COM-AC,"<p><strong>Accountancy</strong></p><p>Accountancy subject for the Classes 12 Commerce stream.</p><p><strong>Typical subjects or topics:</strong> Accountancy</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Accountancy"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Accountancy</a></p>"
